k01.01,k01.02,k01.03,k01.04,k01.05,k01.06,k02.07,k02.08,k02.09,k03.10,k03.11,k03.12,k03.13,k03.14,k03.15,k03.16,k03.17,k03.18,k03.19,k03.20,k03.21,k03.22,k03.23,k03.24,k05.34,k04.26,k04.27,k04.28,k04.29,k04.30,k04.31,k03.25,k04.32,k04.33,k05.35,k05.36,k05.37,k05.38,k05.39,k05.40,k05.41,k05.42,k05.43,k05.44,k05.45,k05.46,k05.47,k05.48,k06.49,k06.50,k06.51,k07.52,k07.53,k07.54,k07.55,k07.56,k08.57,k08.58,k09.59,k09.60,k09.61,k09.62,k09.63,k09.64,k09.65,k10.66,k10.67,k10.68,k10.69,k10.70,k10.71,k10.72,k10.73,k10.74,k10.75,k10.76,k10.77,k10.78,k11.79,k11.80,k11.81,k11.82,k11.83,k12.84,k12.85,k13.86,k13.87,k13.88,k13.89,k13.90,k13.91,k13.92,k13.93,k14.94,k14.95,k14.96
2021/03/05 07:42:28,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1982,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,1-3 jam,Sulit,Tidak memiliki perangkat untuk melakukan aktivitas online,Diklat/seminar/pelatihan,Membantu anamnesa pasien,3-5 jam,3-5 jam,1-3 jam,3-5 jam,1-3 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Rp100.000,00 - Rp300.000,00",Foto cofy form,Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Keterlambatan rilis informasi kasus,"Alamat kontak erat tidak ditemukan; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik); Kekurangan SDM untuk melakukan pelaporan",3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi berhasil sembuh,WhatsApp; Telepon,WhatsApp; Telepon,Form PE kertas,Form PE kertas; Form Excel; New All Record (NAR); Email,1-2 minggu sekali,3,3,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah,"Rp2.000.001,00 - Rp3.000.000,00",Ya,Nuroniah
2021/03/04 22:14:00,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1980,Pria,S2/S3,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu anamnesa pasien; Menjaga dan merawat pasien di IGD, rawat inap atau PONED",3-5 jam,1-3 jam,Kurang dari 1 jam,3-5 jam,Kurang dari 1 jam,Lebih dari 5 jam,1-3 jam,1-3 jam,,Puskesmas,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Lebih dari Rp700.000,00",,"Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,4,Kontak erat/kasus konfirmasi berhasil dihubungi,WhatsApp,Telepon,Form Excel; Aplikasi Pelaporan (Pikobar); New All Record (NAR),Form Excel; New All Record (NAR); WhatsApp Group; Email,2-3 hari sekali,4,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Transfer knowledge mengenai data kasus kepada kolega non-surveilans dengan mudah,"Kurang dari Rp1.000.000,00",Ya,H. Jajang Hermawan 
2021/03/04 16:56:12,Perawat pelaksana,Puskesmas,1980,Wanita,Diploma/S1,Tidak mengikuti,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,Widia hastuti
2021/03/04 16:39:02,Relawan,Dinas Kesehatan,1988,Pria,Diploma/S1,Mengikuti sebagian,Ya,"Identifikasi kontak erat (wawancara); Monitoring dan follow up; Organisasi lacak kontak (koordinasi, dll); Entri dan rekap data",Netral,Sangat tidak setuju,Tidak setuju,Netral,Netral,Setuju,Setuju,Tidak setuju,Setuju,Netral,Setuju,Netral,Setuju,Tidak setuju,Tidak setuju,Netral,Sangat setuju,Setuju,Setuju,Netral,Tidak setuju,Setuju,Netral,Sangat tidak setuju,Setuju,Netral,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Netral,Netral,Netral,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Berperan aktif dalam mengatasi pandemi; Melaksanakan arahan otoritas yang lebih tinggi,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,dadan abdurohman
2021/03/04 15:36:23,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1987,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,"Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Melaksanakan dan mengawasi kesehatan lingkungan; Membantu piket di posko P3K",Lebih dari 5 jam,Lebih dari 5 jam,Lebih dari 5 jam,Lebih dari 5 jam,3-5 jam,Lebih dari 5 jam,Lebih dari 5 jam,Lebih dari 5 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,Keterlambatan rilis informasi kasus,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya",Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kesulitan untuk menemukan kembali arsip kertas form PE,4,Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel; New All Record (NAR),Form Excel; New All Record (NAR); WhatsApp Group,Tidak pernah,,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Melakukan pelaporan dengan lebih praktis,,Ya,Afif Bachtiar
2021/03/04 15:21:28,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1981,Pria,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,Lebih dari 5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,Manajemen Puskesmas,Lebih dari 5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,,Puskesmas,,,,,,Dinkes Kab/Kota,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya",Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer),"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik)",4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Mendapat insentif/reward yang sesuai,WhatsApp; Telepon; Email,WhatsApp; SMS; Telepon,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR); WhatsApp Group; Email,Tidak pernah,,4,Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Menerima hasil swab secara cepat,"Rp2.000.001,00 - Rp3.000.000,00",Ya,Megus Riansyah
2021/03/04 15:12:25,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1975,Pria,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu anamnesa pasien; Menjaga dan merawat pasien di IGD, rawat inap atau PONED; Membantu piket di posko P3K",Lebih dari 5 jam,Lebih dari 5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,3-5 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Lintas sektor (kelurahan, RT/RW) tidak kooperatif","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim,Pencatatan yang berulang (manual dan komputer),Kesulitan untuk menemukan kembali arsip kertas form PE,4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh,WhatsApp; Telepon,WhatsApp; Telepon,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR); WhatsApp Group; Email,Setiap hari,3,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Menerima hasil swab secara cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Yayan Riyanto
2021/03/04 15:07:43,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1981,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Mudah,online sambil melakukan pelayanan ke pasien karena bekerja di puskesmas rawat inap. dan mengelola beberapa program,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Menjaga dan merawat pasien di IGD, rawat inap atau PONED",Lebih dari 5 jam,Kurang dari 1 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,3-5 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,,Puskesmas,,,,"Kurang dari Rp100.000,00","Rp300.001,00 - Rp500.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus; Lintas sektor (kelurahan, RT/RW) tidak kooperatif",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kekurangan SDM untuk melakukan pelaporan,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon; Email; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel,Form Excel; Aplikasi Pelaporan (Pikobar); New All Record (NAR); WhatsApp Group; Email; Aplikasi milik Kab/Kota,4-5 hari sekali,3,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Menerima hasil swab secara cepat,"Rp3.000.001,00 - Rp4.000.000,00",Ya,Erik Mudrikah
2021/03/04 15:00:29,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1990,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Menjaga dan merawat pasien di IGD, rawat inap atau PONED",3-5 jam,1-3 jam,1-3 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer),"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik); Kekurangan SDM untuk melakukan pelaporan",3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Ingin segera menyelesaikan tugas dalam pelacakan kontak,WhatsApp,WhatsApp; Telepon,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR); WhatsApp Group; Email,2-3 hari sekali,3,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mengetahui pasien yang memiliki komorbid dan yang sudah diswab; Menerima hasil swab secara cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,M. ZENI ZAINUL HAKIM
2021/03/04 14:47:58,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1989,Wanita,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Menjaga dan merawat pasien di IGD, rawat inap atau PONED",1-3 jam,1-3 jam,3-5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,,Puskesmas,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik)",3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp; SMS; Telepon,WhatsApp; SMS; Telepon,Form PE kertas,Form PE kertas; Form Excel; New All Record (NAR),Tidak pernah,,4,Menyimpan dan memindahkan data secara offline dan mudah; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat; Mempersingkat durasi wawancara dengan pasien terkonfirmasi/kontak erat,"Kurang dari Rp1.000.000,00",Ya,Irma nurmaidah
